iter	Passed	Remaining
376	5441	8991
377	5452	8972
378	5467	8958
379	5477	8937
380	5490	8920
381	5499	8896
382	5510	8877
383	5523	8860
384	5533	8838
385	5545	8820
386	5557	8802
387	5566	8779
388	5577	8760
389	5590	8744
390	5599	8721
391	5612	8704
392	5625	8688
393	5633	8665
394	5646	8648
395	5658	8631
396	5672	8615
397	5686	8601
398	5700	8586
399	5709	8564
400	5720	8544
401	5733	8529
402	5744	8510
403	5754	8489
404	5766	8471
405	5776	8451
406	5788	8433
407	5800	8416
408	5813	8400
409	5823	8379
410	5834	8361
411	5846	8344
412	5857	8324
413	5869	8308
414	5881	8290
415	5892	8272
416	5904	8255
417	5914	8234
418	5926	8217
419	5939	8202
420	5948	8181
421	5959	8162
422	5974	8149
423	5983	8128
424	5994	8110
425	6009	8097
426	6020	8078
427	6034	8065
428	6043	8044
429	6054	8026
430	6068	8011
431	6077	7990
432	6088	7972
433	6102	7958
434	6113	7940
435	6122	7920
436	6136	7905
437	6144	7884
438	6157	7868
439	6170	7853
440	6181	7835
441	6195	7820
442	6204	7800
443	6217	7786
444	6232	7773
445	6243	7755
446	6260	7744
447	6269	7724
448	6281	7708
449	6293	7692
450	6306	7676
451	6317	7658
452	6327	7640
453	6335	7619
454	6349	7605
455	6360	7588
456	6375	7574
457	6383	7554
458	6393	7535
459	6405	7519
460	6412	7497
461	6422	7479
462	6435	7463
463	6442	7442
464	6452	7423
465	6460	7403
466	6472	7387
467	6482	7368
468	6490	7348
469	6502	7332
470	6510	7312
471	6519	7292
472	6527	7272
473	6538	7255
474	6549	7239
475	6558	7219
476	6567	7201
477	6575	7180
478	6585	7162
479	6597	7147
480	6605	7127
481	6614	7108
482	6627	7094
483	6635	7074
484	6645	7057
485	6654	7038
486	6663	7019
487	6674	7002
488	6682	6982
489	6693	6966
490	6702	6948
491	6710	6929
492	6719	6910
493	6730	6893
494	6742	6878
495	6750	6859
496	6761	6842
497	6774	6829
498	6783	6810
499	6792	6792
500	6805	6778
501	6813	6758
502	6822	6741
503	6836	6728
504	6844	6709
505	6854	6691
506	6867	6677
507	6875	6658
508	6885	6641
509	6897	6626
510	6904	6607
511	6915	6590
512	6923	6572
513	6934	6556
514	6945	6541
515	6954	6522
516	6964	6506
517	6971	6486
518	6980	6469
519	6993	6455
520	7002	6437
521	7012	6421
522	7020	6403
523	7030	6386
524	7041	6370
525	7049	6352
526	7060	6336
527	7070	6320
528	7078	6302
529	7090	6287
530	7098	6270
531	7108	6253
532	7116	6235
533	7126	6219
534	7139	6205
535	7147	6187
536	7157	6171
537	7171	6158
538	7179	6140
539	7189	6123
540	7201	6110
541	7209	6091
542	7219	6075
543	7227	6058
544	7240	6044
545	7250	6028
546	7259	6011
547	7271	5997
548	7280	5981
549	7289	5963
550	7302	5950
551	7309	5932
552	7318	5915
553	7332	5903
554	7339	5885
555	7348	5868
556	7359	5853
557	7367	5835
558	7375	5818
559	7387	5804
560	7395	5787
561	7404	5770
562	7414	5755
563	7425	5740
564	7435	5724
565	7444	5708
566	7455	5693
567	7464	5677
568	7473	5661
569	7484	5646
570	7493	5629
571	7501	5612
572	7512	5598
573	7522	5582
574	7535	5569
575	7543	5552
576	7553	5537
577	7566	5524
578	7574	5507
579	7584	5492
580	7597	5479
581	7605	5462
582	7615	5446
583	7627	5433
584	7635	5416
585	7646	5401
586	7658	5388
587	7666	5372
588	7677	5357
589	7687	5342
590	7698	5327
591	7709	5313
592	7718	5297
593	7728	5282
594	7735	5265
595	7746	5250
596	7761	5239
597	7771	5224
598	7787	5213
599	7795	5197
600	7805	5181
601	7815	5167
602	7824	5151
603	7835	5137
604	7843	5120
605	7854	5106
606	7864	5092
607	7872	5075
608	7881	5060
609	7891	5045
610	7903	5031
611	7911	5015
612	7921	5000
613	7934	4987
614	7942	4971
615	7952	4957
616	7964	4944
617	7972	4928
618	7982	4913
619	7995	4900
620	8003	4884
621	8013	4870
622	8026	4856
623	8034	4841
624	8044	4826
625	8055	4812
626	8064	4797
627	8071	4781
628	8083	4768
629	8117	4767
630	8143	4762
631	8181	4763
632	8191	4749
633	8211	4740
634	8231	4731
635	8239	4715
636	8246	4699
637	8256	4684
638	8263	4668
639	8270	4652
640	8278	4636
641	8289	4622
642	8296	4606
643	8303	4590
644	8311	4574
645	8320	4559
646	8327	4543
647	8334	4527
648	8342	4511
649	8351	4496
650	8359	4481
651	8365	4465
652	8372	4449
653	8382	4434
654	8390	4419
655	8397	4403
656	8405	4388
657	8413	4373
658	8421	4357
659	8428	4342
660	8436	4326
661	8444	4311
662	8453	4296
663	8459	4280
664	8468	4265
665	8476	4250
666	8484	4236
667	8491	4220
668	8499	4205
669	8507	4190
670	8516	4175
671	8523	4160
672	8532	4145
673	8541	4131
674	8549	4116
675	8557	4101
676	8565	4086
677	8574	4072
678	8581	4056
679	8590	4042
680	8598	4027
681	8607	4013
682	8614	3998
683	8621	3983
684	8630	3968
685	8637	3953
686	8646	3939
687	8654	3924
688	8660	3909
689	8668	3894
690	8676	3879
691	8685	3865
692	8691	3850
693	8699	3835
694	8708	3821
695	8717	3807
696	8724	3792
697	8731	3777
698	8740	3763
699	8749	3749
700	8756	3734
701	8763	3720
702	8773	3706
703	8781	3692
704	8788	3677
705	8796	3662
706	8805	3649
707	8813	3634
708	8819	3620
709	8827	3605
710	8836	3591
711	8843	3577
712	8850	3562
713	8858	3548
714	8866	3534
715	8874	3520
716	8881	3505
717	8889	3491
718	8897	3477
719	8906	3463
720	8913	3449
721	8921	3435
722	8930	3421
723	8938	3407
724	8945	3393
725	8954	3379
726	8962	3365
727	8971	3351
728	8977	3337
729	8986	3323
730	8994	3309
731	9002	3295
732	9011	3282
733	9019	3268
734	9025	3254
735	9033	3240
736	9042	3226
737	9050	3213
738	9057	3198
739	9064	3184
740	9073	3171
741	9140	3178
742	9148	3164
743	9155	3150
744	9161	3135
745	9171	3122
746	9178	3108
747	9185	3094
748	9194	3081
749	9201	3067
750	9207	3052
751	9214	3038
752	9220	3024
753	9229	3011
754	9235	2996
755	9242	2982
756	9249	2969
757	9255	2954
758	9263	2941
759	9270	2927
760	9276	2913
761	9284	2899
762	9293	2886
763	9298	2872
764	9305	2858
765	9312	2844
766	9320	2831
767	9326	2817
768	9333	2803
769	9340	2789
770	9347	2776
771	9357	2763
772	9362	2749
773	9370	2735
774	9377	2722
775	9385	2709
776	9391	2695
777	9398	2681
778	9405	2668
779	9413	2655
780	9420	2641
781	9426	2627
782	9432	2614
783	9439	2600
784	9446	2587
785	9453	2573
786	9460	2560
787	9467	2547
788	9473	2533
789	9480	2520
790	9487	2506
791	9499	2494
792	9518	2484
793	9525	2471
794	9531	2457
795	9538	2444
796	9544	2431
797	9551	2417
798	9559	2404
799	9565	2391
800	9571	2377
801	9578	2364
802	9584	2351
803	9592	2338
804	9597	2324
805	9605	2311
806	9611	2298
807	9619	2285
808	9630	2273
809	9638	2260
810	9646	2248
811	9656	2235
812	9661	2222
813	9667	2209
814	9674	2196
815	9680	2182
816	9689	2170
817	9694	2156
818	9700	2143
819	9708	2131
820	9714	2118
821	9721	2105
822	9727	2092
823	9735	2079
824	9744	2067
825	9751	2054
826	9757	2041
827	9763	2028
828	9769	2015
829	9776	2002
830	9784	1989
831	9794	1977
832	9801	1965
833	9810	1952
834	9818	1940
835	9828	1928
836	9836	1915
837	9844	1903
838	9854	1890
839	9862	1878
840	9870	1866
841	9878	1853
842	9886	1841
843	9895	1829
844	9902	1816
845	9909	1803
846	9919	1791
847	9927	1779
848	9934	1766
849	9942	1754
850	9951	1742
851	9959	1729
852	9966	1717
853	9974	1705
854	9981	1692
855	9991	1680
856	9998	1668
857	10006	1656
858	10013	1643
859	10023	1631
860	10030	1619
861	10037	1606
862	10045	1594
863	10054	1582
864	10062	1570
865	10069	1558
866	10123	1552
867	10136	1541
868	10146	1529
869	10154	1517
870	10161	1504
871	10168	1492
872	10177	1480
873	10184	1468
874	10192	1456
875	10203	1444
876	10210	1431
877	10217	1419
878	10225	1407
879	10234	1395
880	10241	1383
881	10248	1371
882	10257	1359
883	10266	1347
884	10273	1334
885	10281	1322
886	10289	1310
887	10300	1299
888	10308	1287
889	10315	1274
890	10325	1263
891	10332	1251
892	10352	1240
893	10374	1230
894	10400	1220
895	10428	1210
896	10457	1200
897	10480	1190
898	10512	1181
899	10545	1171
900	10567	1161
901	10595	1151
902	10624	1141
903	10652	1131
904	10679	1121
905	10706	1110
906	10729	1100
907	10754	1089
908	10780	1079
909	10810	1069
910	10841	1059
911	10865	1048
912	10895	1038
913	10923	1027
914	10950	1017
915	10970	1006
916	10996	995
917	11019	984
918	11043	973
919	11069	962
920	11097	951
921	11122	940
922	11143	929
923	11174	919
924	11202	908
925	11226	897
926	11258	886
927	11285	875
928	11315	864
929	11343	853
930	11366	842
931	11389	831
932	11408	819
933	11432	807
934	11453	796
935	11473	784
936	11497	773
937	11519	761
938	11542	749
939	11565	738
940	11590	726
941	11609	714
942	11633	703
943	11658	691
944	11689	680
945	11711	668
946	11733	656
947	11754	644
948	11776	632
949	11795	620
950	11819	609
951	11843	597
952	11862	585
953	11886	573
954	11911	561
955	11933	549
956	11953	537
957	11971	524
958	11988	512
959	12011	500
960	12032	488
961	12049	475
962	12069	463
963	12090	451
964	12109	439
965	12129	426
966	12149	414
967	12167	402
968	12189	389
969	12209	377
970	12231	365
971	12248	352
972	12268	340
973	12288	328
974	12307	315
975	12329	303
976	12348	290
977	12370	278
978	12391	265
979	12408	253
980	12427	240
981	12444	228
982	12471	215
983	12492	203
984	12509	190
985	12522	177
986	12537	165
987	12552	152
988	12567	139
989	12582	127
990	12596	114
991	12608	101
992	12619	88
993	12632	76
994	12646	63
995	12660	50
996	12672	38
997	12684	25
998	12696	12
999	12710	0
