iter	Logloss
275	0.4117881524
276	0.4116659098
277	0.4115921455
278	0.4114285646
279	0.4113855218
280	0.4113577045
281	0.4112973021
282	0.4112484708
283	0.4111125751
284	0.4110139291
285	0.410933202
286	0.4109261887
287	0.4107999676
288	0.41073028
289	0.4106620651
290	0.4105621242
291	0.4104616932
292	0.4103705572
293	0.4102582178
294	0.4101950976
295	0.4101350933
296	0.4101263815
297	0.4100198559
298	0.4099546251
299	0.4098171824
300	0.4097410641
301	0.4096606947
302	0.409580458
303	0.4094963484
304	0.4094175236
305	0.4092760535
306	0.409181971
307	0.4090735943
308	0.4090302643
309	0.4089868273
310	0.4089554252
311	0.408881728
312	0.4088199014
313	0.4087023973
314	0.4086608009
315	0.4085876622
316	0.4084577631
317	0.4084356738
318	0.4084017428
319	0.4083601936
320	0.4082913649
321	0.408188316
322	0.4081415447
323	0.4080980409
324	0.4080071544
325	0.4079517453
326	0.4079111692
327	0.4078233527
328	0.4077128412
329	0.40760505
330	0.4075552929
331	0.4074149061
332	0.4073387412
333	0.407247415
334	0.4071131957
335	0.4070296917
336	0.4068672435
337	0.4068325058
338	0.4067640599
339	0.4066782902
340	0.406655045
341	0.4065339867
342	0.4064647071
343	0.4064365456
344	0.4063527024
345	0.4062373141
346	0.4061911062
347	0.4061289043
348	0.4060240585
349	0.40592768
350	0.4058239118
351	0.4057131351
352	0.4056423614
353	0.4055837041
354	0.4055534549
355	0.4054814208
356	0.4054469717
357	0.4053130352
358	0.4052696308
359	0.4051859774
360	0.405043687
361	0.4049696658
362	0.4048893553
363	0.4048686404
364	0.4048243975
365	0.4047408475
366	0.4046485301
367	0.4046094685
368	0.4045579028
369	0.4044486439
370	0.4044024782
371	0.4042802616
372	0.4042305546
373	0.4041960171
374	0.4041278986
375	0.4040219158
376	0.4038224943
377	0.403728672
378	0.4036568438
379	0.4036131919
380	0.4035204705
381	0.4034517277
382	0.4033891643
383	0.4033282343
384	0.4031590244
385	0.4030818898
386	0.4030151867
387	0.4029842272
388	0.4029676593
389	0.4029172828
390	0.402884187
391	0.402726066
392	0.4025349324
393	0.4025065031
394	0.4024705138
395	0.4024001538
396	0.4023398796
397	0.4022642271
398	0.4022102096
399	0.4021042979
400	0.4020239672
401	0.4019965638
402	0.4019524765
403	0.4018419345
404	0.4017066857
405	0.401639782
406	0.4015130326
407	0.4014038928
408	0.4012930102
409	0.4011843046
410	0.4010610689
411	0.4010057102
412	0.4009235796
413	0.4008747463
414	0.4007704725
415	0.4006341606
416	0.4005411135
417	0.4004239549
418	0.4003532875
419	0.4002498052
420	0.4001871094
421	0.4001031097
422	0.4000393044
423	0.3999654604
424	0.3998090385
425	0.3997422098
426	0.3996449761
427	0.3995445467
428	0.3994653356
429	0.3993535654
430	0.3992515168
431	0.3992137275
432	0.3991527534
433	0.3990979233
434	0.399025094
435	0.3989133927
436	0.3988529872
437	0.3988060956
438	0.3987711804
439	0.3987488487
440	0.3986516779
441	0.3986051677
442	0.3985685749
443	0.3984480126
444	0.3983579512
445	0.3982723969
446	0.3982109285
447	0.3981003707
448	0.3979841426
449	0.3979697819
450	0.3978759376
451	0.3977797504
452	0.397741305
453	0.3976709225
454	0.3976215573
455	0.39751701
456	0.3973914873
457	0.3972623038
458	0.3971724344
459	0.3971411507
460	0.3970749994
461	0.3969801099
462	0.3969001903
463	0.3968681495
464	0.3968046364
465	0.3966591004
466	0.3966074195
467	0.3964834972
468	0.3964171376
469	0.3964012637
470	0.3963560668
471	0.3963056037
472	0.396198241
473	0.3960925512
474	0.3960234086
475	0.3959228459
476	0.3958760051
477	0.3957639578
478	0.3956989876
479	0.3956827394
480	0.395628364
481	0.3955505195
482	0.3953744209
483	0.3953090143
484	0.3951729125
485	0.3950603401
486	0.3949554088
487	0.3949433329
488	0.3948790403
489	0.3947760324
490	0.3946912665
491	0.3946079537
492	0.3945387436
493	0.3944506562
494	0.3943792142
495	0.394284439
496	0.3941972838
497	0.394141148
498	0.3940293932
499	0.3938909897
500	0.393822472
501	0.3936652775
502	0.3935962908
503	0.3935123667
504	0.393418896
505	0.3933419333
506	0.3932473474
507	0.3931728305
508	0.3931587707
509	0.3930125294
510	0.3929281676
511	0.3928334761
512	0.3927630644
513	0.3927218452
514	0.3925851063
515	0.3925020599
516	0.3924151831
517	0.3923935868
518	0.392319795
519	0.3923066385
520	0.3922568891
521	0.3921751253
522	0.3920929865
523	0.3920456277
524	0.3920031149
525	0.3919021046
526	0.3918129721
527	0.3916940769
528	0.3915473179
529	0.3914590646
530	0.3913815143
531	0.391347494
532	0.3912862188
533	0.3912086085
534	0.3911496564
535	0.3910566598
536	0.3909836993
537	0.3909434369
538	0.3908449624
539	0.3907589979
540	0.3905703961
541	0.3904840205
542	0.3904368124
543	0.3903925831
544	0.3903760691
545	0.3902466212
546	0.390172303
547	0.3901589163
548	0.3900466497
549	0.3899737475
550	0.3898977084
551	0.3898231036
552	0.3897703698
553	0.3896354536
554	0.3896151101
555	0.3896048201
556	0.3895564348
557	0.3894955285
558	0.3894470303
559	0.3893601911
560	0.3893057835
561	0.3892361925
562	0.3891550756
563	0.38912566
564	0.3890401371
565	0.3889689637
566	0.3889143994
567	0.3888277486
568	0.3887577135
569	0.3886900555
570	0.3885848825
571	0.3885084722
572	0.3884114018
573	0.388337193
574	0.3882435937
575	0.3881371099
576	0.388011984
577	0.3879292926
578	0.3878648742
579	0.3878433153
580	0.3877451185
581	0.3876409601
582	0.3875886945
583	0.3874610372
584	0.3873625637
585	0.3872769485
586	0.3872282239
587	0.3871771868
588	0.3871021288
589	0.3869845453
590	0.3868731515
591	0.3868073967
592	0.3867465332
593	0.3866257822
594	0.3865663086
595	0.386518981
596	0.3864893752
597	0.3864217469
598	0.3863866306
599	0.3862417
600	0.3861694285
601	0.3861173311
602	0.3860906111
603	0.3860158406
604	0.3859647855
605	0.3858759579
606	0.3858172084
607	0.385760047
608	0.3856931769
609	0.3856162773
610	0.3855551886
611	0.3855150112
612	0.3854205805
613	0.3853214766
614	0.3852296167
615	0.3851066994
616	0.3850239991
617	0.3849963519
618	0.3849445239
619	0.3849045998
620	0.3848486383
621	0.3847867353
622	0.3847114991
623	0.3846034795
624	0.3845212192
625	0.3844772977
626	0.3844109758
627	0.3843728755
628	0.3843171512
629	0.3842387962
630	0.3841939084
631	0.3840899298
632	0.3840208573
633	0.3839727593
634	0.3839110553
635	0.383852539
636	0.3837508662
637	0.3836642789
638	0.3835518461
639	0.3834878828
640	0.3834162215
641	0.383358975
642	0.3832898094
643	0.3831887803
644	0.3831205876
645	0.3830454878
646	0.3830021313
647	0.3829364859
648	0.3828747795
649	0.3828225417
650	0.3827425644
651	0.3826783119
652	0.3826599373
653	0.3825862205
654	0.3825169359
655	0.3824450297
656	0.3823932837
657	0.3823384755
658	0.3823103587
659	0.3822386606
660	0.3822174333
661	0.3821608662
662	0.3820982375
663	0.3819633691
664	0.3818904221
665	0.381803333
666	0.3817600056
667	0.381653345
668	0.3815912392
669	0.381525115
670	0.3813813234
671	0.3813588554
672	0.381320829
673	0.3813024635
674	0.3812647591
675	0.3811781499
676	0.3811070534
677	0.3810464907
678	0.3809972987
679	0.3809002967
680	0.3808322687
681	0.3807819188
682	0.3807196601
683	0.3806961805
684	0.3806525485
685	0.3805852804
686	0.3805487787
687	0.3804801312
688	0.3803858327
689	0.3803551907
690	0.3802986856
691	0.38022697
692	0.3801624735
693	0.3800674835
694	0.3799854839
695	0.3799060653
696	0.3798152568
697	0.3797433256
698	0.3797087914
699	0.379622591
700	0.3795534194
701	0.3795024369
702	0.3794278053
703	0.3793580997
704	0.3792893482
705	0.3792203045
706	0.3791654354
707	0.3790850625
708	0.3789300236
709	0.3788125043
710	0.3787413221
711	0.3787325792
712	0.3786379489
713	0.3785713411
714	0.3785338905
715	0.3784843282
716	0.3784217065
717	0.3783211411
718	0.378305543
719	0.3782615274
720	0.3781926344
721	0.3781378482
722	0.3780701398
723	0.3779536063
724	0.3778307163
725	0.37776338
726	0.3776700012
727	0.3776038945
728	0.3774948099
729	0.3774314453
730	0.3773826211
731	0.3773223309
732	0.3772645063
733	0.3771918863
734	0.3771531216
735	0.3770741885
736	0.3769918896
737	0.3769183599
738	0.3768540826
739	0.3767472228
740	0.376686879
741	0.3766161021
742	0.3765705039
743	0.3765292161
744	0.3765000919
745	0.3764755701
746	0.376412228
747	0.3763529947
748	0.3762437872
749	0.3761319891
750	0.3760505113
751	0.3760043593
752	0.375931875
753	0.375894083
754	0.3758260416
755	0.3757666465
756	0.375655115
757	0.3755681317
758	0.3755195891
759	0.3754689049
760	0.3753975898
761	0.3753279998
762	0.3752882363
763	0.3752304944
764	0.3751356132
765	0.3751097509
766	0.3749902927
767	0.3749170272
768	0.3747938321
769	0.3747358842
770	0.3746707663
771	0.3745749603
772	0.3745027141
773	0.3744046469
774	0.3743392291
775	0.3742893189
776	0.37421557
777	0.3741291103
778	0.3740573976
779	0.374000024
780	0.3739725783
781	0.3739477008
782	0.3738675128
783	0.3738489209
784	0.3737971023
785	0.3736926062
786	0.3736313939
787	0.3735931427
788	0.373530015
789	0.3734972933
790	0.3734302948
791	0.373337065
792	0.3732777984
793	0.3732366617
794	0.3732051792
795	0.3731752623
796	0.373168434
797	0.3731190538
798	0.3730449128
799	0.3729781676
800	0.3729334141
801	0.3728194046
802	0.3727242285
803	0.3727117172
804	0.3726721299
805	0.3726263189
806	0.372564369
807	0.3724870917
808	0.3724045123
809	0.372369953
810	0.3723009141
811	0.3722470029
812	0.3721421977
813	0.3720919132
814	0.3720463744
815	0.3720018723
816	0.3719426461
817	0.3718928379
818	0.371837689
819	0.3717832668
820	0.3716951143
821	0.3716348571
822	0.3715050161
823	0.3714447946
824	0.3713627677
825	0.3713008083
826	0.3712415139
827	0.3712149789
828	0.371188502
829	0.3711629747
830	0.3710771189
831	0.3710516144
832	0.3709836466
833	0.3709197818
834	0.3708534549
835	0.3707427127
836	0.3706686202
837	0.3706030334
838	0.3705246319
839	0.3704656175
840	0.3703840841
841	0.3703577174
842	0.3702783863
843	0.370254393
844	0.3702050112
845	0.3701555056
846	0.3700820679
847	0.3700044499
848	0.3699733049
849	0.3699217337
850	0.3698316095
851	0.3698030955
852	0.3697686902
853	0.3696973776
854	0.3696936765
855	0.3695879199
856	0.3694716303
857	0.3693960908
858	0.3693026852
859	0.3692315271
860	0.3691804368
861	0.3691276057
862	0.3690628456
863	0.3689976508
864	0.3689477937
865	0.3688353337
866	0.3687797559
867	0.3687186452
868	0.3686656014
869	0.368624618
870	0.3685472493
871	0.3684634951
872	0.3684220613
873	0.368338063
874	0.368277656
875	0.3681298505
876	0.3680594007
877	0.3679860632
878	0.3679076323
879	0.3678668215
880	0.3678079654
881	0.367782069
882	0.3677410024
883	0.3676902144
884	0.367630664
885	0.3675917025
886	0.3675573499
887	0.3675252932
888	0.3674865043
889	0.3674775242
890	0.3674526306
891	0.3673534981
892	0.3672846459
893	0.3672320134
894	0.3671922264
895	0.3671100141
896	0.3670784138
897	0.3670306792
898	0.3669680572
899	0.3668675321
900	0.3668387739
901	0.366802988
902	0.3667448126
903	0.3666901636
904	0.3666390946
905	0.3666147067
906	0.3665203904
907	0.3665194172
908	0.366445125
909	0.3663671586
910	0.3663375271
911	0.36626907
912	0.3661528175
913	0.3660930233
914	0.3660144135
915	0.3659574046
916	0.3658949941
917	0.3658693223
918	0.3658071015
919	0.3657530928
920	0.3656480397
921	0.3656046876
922	0.3655485216
923	0.3654721916
924	0.3653928513
925	0.3653636302
926	0.3653190637
927	0.3652687618
928	0.3651628277
929	0.3651079171
930	0.3650464642
931	0.3649680534
932	0.3649503283
933	0.3649068184
934	0.3648564411
935	0.3647918159
936	0.3646867631
937	0.3646297878
938	0.3645999837
939	0.3645299343
940	0.3644823586
941	0.3644207645
942	0.3643807704
943	0.3643090777
944	0.3642392795
945	0.3641334592
946	0.3640601735
947	0.3640252302
948	0.3639724334
949	0.3638851356
950	0.3638030689
951	0.363741698
952	0.3637364886
953	0.3636888644
954	0.3636377467
955	0.3635397867
956	0.3634666018
957	0.3633880033
958	0.3633437061
959	0.3633032381
960	0.3632663587
961	0.3632278291
962	0.36319954
963	0.3631447829
964	0.3630691205
965	0.3630165313
966	0.3629770255
967	0.3629365448
968	0.3628448776
969	0.3628054936
970	0.3627380675
971	0.3626729973
972	0.3626194177
973	0.3624982554
974	0.3624179614
975	0.3623855301
976	0.3623342148
977	0.3622604957
978	0.3621897048
979	0.3621187388
980	0.3620615178
981	0.3620480669
982	0.3619942497
983	0.3619660315
984	0.3618977883
985	0.3618440073
986	0.3618241998
987	0.3617711754
988	0.361729737
989	0.3616492733
990	0.3615894388
991	0.3615175244
992	0.3614877953
993	0.3614584843
994	0.3614011399
995	0.3613707951
996	0.3613526645
997	0.3612729474
998	0.3612261648
999	0.3611993221
